address,rank,overall_pnl_30d,win_rate,median_holding_h,fills_per_day,max_single_loss,quality_score,fwd_pnl,fwd_sharpe,fwd_trades,fwd_closing_fills
0xd9ee2b58b061d62d8090f4cba11b5c2043b0cd0c,1,439910.87274911,0.951,93.87,61.9,-1588.28,176536.0,20775.17,0.0484,2000,1307
0x59629e23c52a0d7c092436870ef2db1dc382ddf8,5,110502.351046,0.833,2.74,8.7,-6137.21,126408.0,-79442.86,-0.1897,2000,483
0xbdfa4f4492dd7b7cf211209c4791af8d52bf5c50,7,72222.77368907,0.75,20.82,4.7,-9999.9,105482.0,5960.36,1.1013,17,3
0xfcecc2a54724cf0502eb7c916e2717ef76a510ed,2,401988.50412431,0.505,16.53,65.4,-48029.38,73129.0,114932.21,0.0486,2000,1124
0x0a3343b600d81cdaac131342652241cd32e14349,9,66462.99791959,0.429,17.65,8.6,-17322.51,61716.0,-1602.02,-0.1819,4,4
0x224d6f8b2d6510ca76ef9a747733077b25b3f59f,21,32013.11646003,1.0,43.89,0.4,0.46,48020.0,0.0,0.0,0,0
0x413a302874db24bff6a0b085f3a65d840c41615b,18,33518.1308408,0.924,0.12,10.2,-19.65,47721.0,0.0,0.0,0,0
0xb31533962e88b707355777244d94ba5e1e6a7893,23,30056.51456384,0.991,6.17,52.2,-7497.46,42651.0,3579.9,0.0147,2000,74
0x433c221b2172778c962a144c074bbc045bb8361b,20,32123.04918433,0.806,103.55,55.6,-14398.65,41938.0,-30968.29,-0.8484,25,25
0x1d6a027a1c71ff4eaa13283542f8fbb9b4fc72ad,19,32796.5361305,0.708,7.59,5.3,-860.78,39608.0,0.0,0.0,0,0
0x7a4f914c2edd8bd6941ba51058289dc396b385c4,13,43411.07131137,1.0,10.78,20.9,0.89,39286.0,440.6,0.0088,264,42
0x166866a2845506f6b4c817482fe53b4985882ea6,25,28501.49370002,0.714,19.76,1.8,-3054.2,34609.0,11990.34,0.055,858,298
0x7602860bc0c4124580cd42a0d1bb27336fc6386a,12,44070.73263224,0.898,94.97,65.2,-19.67,29216.0,-42790.0,-0.063,1299,373
0xe1073ff3f3d800ffbb7a816853e34109255b874f,45,14647.05797185,0.959,8.81,12.6,-2831.51,28154.0,501.82,0.0126,205,83
0x70f7112496b7ed6aba26dde584961fa4b4138de7,37,19256.05101869,0.673,0.45,15.5,-2782.4,21075.0,,,,
0x5e13a4a84c83e0895e3079eb49c53f25237109b2,42,15604.09758056,0.676,4.73,18.8,-4257.34,18358.0,,,,
0x2e9215ebf1214565ee016f9302ca8846b51de069,48,13498.08655471,0.988,12.17,15.2,-999.94,17637.0,,,,
0xc9b3ef98f2b260c2c4c48323e8863f4dfed3d5a7,53,12421.09208008,0.889,7.75,3.2,-2570.91,17252.0,-38020.5,-0.0474,2000,648
0xd8074220bf74b705ac552d189e49e8df7f227eb2,51,12969.29091477,0.742,9.4,25.8,-1867.3,16103.0,2534.36,0.049,1515,540
0xaddc680878f96b93189f700d17f4a9bfcf80ff54,3,154822.1610604,0.439,8.12,66.6,-2073.3,15571.0,-19143.6,-0.0839,2000,57
0xf212ba250bd0939d60532141da56329f8524ba67,61,10188.98443004,1.0,9.24,0.3,101.82,15354.0,41906.09,0.1933,547,311
0xcb71eb21f53a2f4de0f26dc90518df10be13d1ec,40,16141.15563945,0.568,8.43,51.3,-412.27,15125.0,-5056.4,-0.273,357,133
0x543d59da294b39980f3a7ae8bf52fccb046a67bc,49,13098.72351,0.632,15.65,4.2,-8169.44,14822.0,-9300.75,-0.0447,218,27
0x4a24fd841e74c28309bca5730b40679e18c5fca0,59,10606.15186001,0.686,12.58,7.3,-2801.21,12523.0,-12144.79,-0.3795,134,17
0x630a4438b08a821d342ed8d54f9339d2fefd17c7,74,7734.87902004,1.0,8.39,2.1,0.33,11602.0,-34664.95,-0.5965,43,43
0x45e750e74b4f9025d1ea4726390bf3ecb96393c6,67,8762.21656125,0.985,9.44,16.5,-500.0,11504.0,-125.74,-0.024,105,19
