address,rank,overall_pnl_30d,overall_trades_30d,outcome_fills,outcome_buys,outcome_sells,settled_pnl,gross_win,gross_loss,win_rate_settled,max_single_loss,distinct_outcomes,perp_fills,outcome_fraction,quality_score
0xd9ee2b58b061d62d8090f4cba11b5c2043b0cd0c,1,439910.87274911,3657,1856,1177,679,121631.67,125153.13,-3521.46,0.951,-1588.28,50,144,0.928,176536.1
0x59629e23c52a0d7c092436870ef2db1dc382ddf8,5,110502.351046,1693,262,250,12,94806.18,100943.97,-6137.79,0.833,-6137.21,12,1738,0.131,126408.24
0xfcecc2a54724cf0502eb7c916e2717ef76a510ed,2,401988.50412431,19013,1961,525,1436,72773.88,368367.43,-295593.55,0.505,-48029.38,57,39,0.981,73128.63
0x0a3343b600d81cdaac131342652241cd32e14349,9,66462.99791959,259,259,238,21,66463.0,98533.92,-32070.93,0.429,-17322.51,26,4,0.985,61715.64
0x413a302874db24bff6a0b085f3a65d840c41615b,18,33518.1308408,306,306,188,118,33518.13,33539.4,-21.27,0.924,-19.65,18,0,1.0,47720.73
0xb31533962e88b707355777244d94ba5e1e6a7893,23,30056.51456384,4524,1567,1216,351,28596.73,38094.18,-9497.44,0.991,-7497.46,26,2,0.999,42650.68
0x433c221b2172778c962a144c074bbc045bb8361b,20,32123.04918433,1667,1667,1087,580,32123.05,66051.23,-33928.18,0.806,-14398.65,50,0,1.0,41938.43
0x1d6a027a1c71ff4eaa13283542f8fbb9b4fc72ad,19,32796.5361305,159,159,94,65,32796.54,35596.0,-2799.46,0.708,-860.78,6,0,1.0,39608.12
0x7a4f914c2edd8bd6941ba51058289dc396b385c4,13,43411.07131137,1330,627,596,31,26190.73,26190.73,0,1.0,0.89,22,1,0.998,39286.09
0x7602860bc0c4124580cd42a0d1bb27336fc6386a,12,44070.73263224,3696,1955,1512,443,20892.08,21110.46,-218.39,0.898,-19.67,50,45,0.978,29215.9
0xe1073ff3f3d800ffbb7a816853e34109255b874f,45,14647.05797185,410,379,185,194,19299.95,24929.68,-5629.73,0.959,-2831.51,11,1621,0.19,28154.05
0x70f7112496b7ed6aba26dde584961fa4b4138de7,37,19256.05101869,734,466,240,226,17973.52,22759.83,-4786.32,0.673,-2782.4,21,363,0.562,21075.14
0x5e13a4a84c83e0895e3079eb49c53f25237109b2,42,15604.09758056,563,563,427,136,15604.1,37965.7,-22361.6,0.676,-4257.34,65,0,1.0,18357.76
0x2e9215ebf1214565ee016f9302ca8846b51de069,48,13498.08655471,12807,457,371,86,11849.55,12849.49,-999.94,0.988,-999.94,3,1543,0.229,17636.54
0xc9b3ef98f2b260c2c4c48323e8863f4dfed3d5a7,53,12421.09208008,97,97,52,45,12421.09,18524.4,-6103.31,0.889,-2570.91,16,1265,0.071,17251.52
0xaddc680878f96b93189f700d17f4a9bfcf80ff54,3,154822.1610604,16243,1998,1875,123,16581.8,46648.63,-30066.83,0.439,-2073.3,24,2,0.999,15570.72
0xcb71eb21f53a2f4de0f26dc90518df10be13d1ec,40,16141.15563945,6488,1540,966,574,14163.0,23215.49,-9052.49,0.568,-412.27,33,460,0.77,15125.29
0x4a24fd841e74c28309bca5730b40679e18c5fca0,59,10606.15186001,221,219,184,35,10561.26,20181.36,-9620.1,0.686,-2801.21,23,113,0.66,12522.63
0x630a4438b08a821d342ed8d54f9339d2fefd17c7,74,7734.87902004,63,64,54,10,7734.88,7734.88,0,1.0,0.33,6,91,0.413,11602.32
0x45e750e74b4f9025d1ea4726390bf3ecb96393c6,67,8762.21656125,890,494,427,67,7746.19,8246.19,-500.0,0.985,-500.0,4,1506,0.247,11503.67
0x752376615242e8e1dfe0df7589693957ff40b538,65,8871.86596,70,70,59,11,8871.87,13207.6,-4335.74,0.727,-2584.26,12,0,1.0,10888.2
0x30f58e4036cafb8609193a6d17baffe29cdfc7c9,70,8206.35357009,482,482,308,174,8206.35,10401.8,-2195.45,0.736,-345.62,52,145,0.769,10140.03
0xeeba7d00838ffe5d43da4a0c69b949784670c8d2,57,11004.66843043,168,168,44,124,11004.67,26100.84,-15096.17,0.22,-6666.67,10,1,0.994,7917.99
