address,rank,overall_pnl_30d,outcome_fills,distinct_outcomes,settled_pnl,win_rate,median_fills_per_coin,median_holding_h,median_ntl,max_single_loss,fills_per_day,quality_score
0xd9ee2b58b061d62d8090f4cba11b5c2043b0cd0c,1,439910.87274911,1856,50,121631.67,0.951,15.5,93.87,43.0,-1588.28,61.9,176536.0
0x59629e23c52a0d7c092436870ef2db1dc382ddf8,5,110502.351046,262,12,94806.18,0.833,5.0,2.74,51.0,-6137.21,8.7,126408.0
0xbdfa4f4492dd7b7cf211209c4791af8d52bf5c50,7,72222.77368907,140,12,84385.87,0.75,6.0,20.82,237.0,-9999.9,4.7,105482.0
0xfcecc2a54724cf0502eb7c916e2717ef76a510ed,2,401988.50412431,1961,57,72773.88,0.505,22,16.53,56.0,-48029.38,65.4,73129.0
0x0a3343b600d81cdaac131342652241cd32e14349,9,66462.99791959,259,26,66463.0,0.429,4.0,17.65,89.0,-17322.51,8.6,61716.0
0x224d6f8b2d6510ca76ef9a747733077b25b3f59f,21,32013.11646003,11,2,32013.12,1.0,5.5,43.89,6224.0,0.46,0.4,48020.0
0x413a302874db24bff6a0b085f3a65d840c41615b,18,33518.1308408,306,18,33518.13,0.924,6.5,0.12,45.0,-19.65,10.2,47721.0
0xb31533962e88b707355777244d94ba5e1e6a7893,23,30056.51456384,1567,26,28596.73,0.991,37.0,6.17,51.0,-7497.46,52.2,42651.0
0x433c221b2172778c962a144c074bbc045bb8361b,20,32123.04918433,1667,50,32123.05,0.806,25.0,103.55,43.0,-14398.65,55.6,41938.0
0x1d6a027a1c71ff4eaa13283542f8fbb9b4fc72ad,19,32796.5361305,159,6,32796.54,0.708,29.5,7.59,149.0,-860.78,5.3,39608.0
0x7a4f914c2edd8bd6941ba51058289dc396b385c4,13,43411.07131137,627,22,26190.73,1.0,22.0,10.78,144.0,0.89,20.9,39286.0
0x166866a2845506f6b4c817482fe53b4985882ea6,25,28501.49370002,54,6,28501.49,0.714,6.0,19.76,128.0,-3054.2,1.8,34609.0
0x7602860bc0c4124580cd42a0d1bb27336fc6386a,12,44070.73263224,1955,50,20892.08,0.898,30.0,94.97,6.0,-19.67,65.2,29216.0
0xe1073ff3f3d800ffbb7a816853e34109255b874f,45,14647.05797185,379,11,19299.95,0.959,7,8.81,47.0,-2831.51,12.6,28154.0
0x70f7112496b7ed6aba26dde584961fa4b4138de7,37,19256.05101869,466,21,17973.52,0.673,12,0.45,27.0,-2782.4,15.5,21075.0
0x5e13a4a84c83e0895e3079eb49c53f25237109b2,42,15604.09758056,563,65,15604.1,0.676,6,4.73,65.0,-4257.34,18.8,18358.0
0x2e9215ebf1214565ee016f9302ca8846b51de069,48,13498.08655471,457,3,11849.55,0.988,217,12.17,2.0,-999.94,15.2,17637.0
0xc9b3ef98f2b260c2c4c48323e8863f4dfed3d5a7,53,12421.09208008,97,16,12421.09,0.889,5.0,7.75,40.0,-2570.91,3.2,17252.0
0xd8074220bf74b705ac552d189e49e8df7f227eb2,51,12969.29091477,773,44,12969.29,0.742,11.5,9.4,27.0,-1867.3,25.8,16103.0
0xaddc680878f96b93189f700d17f4a9bfcf80ff54,3,154822.1610604,1998,25,16581.8,0.439,30,8.12,48.0,-2073.3,66.6,15571.0
0xf212ba250bd0939d60532141da56329f8524ba67,61,10188.98443004,8,1,10235.7,1.0,8,9.24,2892.0,101.82,0.3,15354.0
0xcb71eb21f53a2f4de0f26dc90518df10be13d1ec,40,16141.15563945,1540,33,14163.0,0.568,43,8.43,65.0,-412.27,51.3,15125.0
0x543d59da294b39980f3a7ae8bf52fccb046a67bc,49,13098.72351,126,22,13098.72,0.632,4.0,15.65,64.0,-8169.44,4.2,14822.0
0x4a24fd841e74c28309bca5730b40679e18c5fca0,59,10606.15186001,219,23,10561.26,0.686,6,12.58,41.0,-2801.21,7.3,12523.0
0x630a4438b08a821d342ed8d54f9339d2fefd17c7,74,7734.87902004,64,6,7734.88,1.0,5.5,8.39,75.0,0.33,2.1,11602.0
0x45e750e74b4f9025d1ea4726390bf3ecb96393c6,67,8762.21656125,494,4,7746.19,0.985,117.5,9.44,1.0,-500.0,16.5,11504.0
0x752376615242e8e1dfe0df7589693957ff40b538,65,8871.86596,70,12,8871.87,0.727,3.0,6.11,61.0,-2584.26,2.3,10888.0
0x30f58e4036cafb8609193a6d17baffe29cdfc7c9,70,8206.35357009,482,52,8206.35,0.736,4.0,14.84,27.0,-345.62,16.1,10140.0
0x4d4c072195cf5aa65554694b6ca6637611b5bbfd,81,6733.09682693,1514,2,6733.1,1.0,757.0,2.85,89.0,0.07,50.5,10100.0
0xef51c6b7eff0d16038743bf924879d295a4b971f,87,6191.52958012,55,5,6191.53,0.957,6,3.51,99.0,-1031.88,1.8,9018.0
0x2a0441826a24ea48dd604bcaff45e40e72a1f711,85,6376.60082896,1697,31,6457.85,0.846,12,14.78,0.0,-148.65,56.6,8693.0
0xe479b6329ff7f81f619b4642eeb6b989648ed9cf,89,5819.09749932,146,21,6382.2,0.828,4,9.85,25.0,-622.79,4.9,8473.0
0x556d539002b19c923a08f664564f2ec6aba5681e,66,8862.73925004,37,7,8877.23,0.444,5,30.29,115.0,-221.87,1.2,8384.0
0xeeba7d00838ffe5d43da4a0c69b949784670c8d2,57,11004.66843043,168,10,11004.67,0.22,7.5,7.84,52.0,-6666.67,5.6,7918.0
0x8df3e0b89ceff88af367c17423e4ef2f3543a8d4,46,14130.42684823,216,29,6463.66,0.69,5,18.34,43.0,-2219.78,7.2,7690.0
0xc48d912c6596a0138e058323fd9929209a66cfd8,56,11062.01129012,39,6,11062.01,0.118,4.5,14.31,396.0,-5082.92,1.3,6832.0
0x873c9115d2a0adf17497370958ec2c78cff6dd05,105,4545.66433006,30,2,4545.66,1.0,15.0,2.44,55.0,7.89,1.0,6818.0
0x693072edf90445ad612dcb68c12b208746698521,91,5735.35154,43,15,5735.35,0.667,2,5.21,42.0,-1462.62,1.4,6691.0
0x770e5368c665455ca34df9ab824e60bcc4ee5816,109,4369.09702009,49,4,4369.1,1.0,11.0,7.2,50.0,4.41,1.6,6554.0
0x44b639a83b72e0f73035e902aea293a4d2cfe8dc,69,8353.49094888,463,26,5584.97,0.63,18.0,20.92,36.0,-1752.93,15.4,6309.0
0x864d69e84bcbf88dc63c0333501b1db5d3fdbf28,99,4836.96329,73,24,4836.96,0.692,3.0,3.03,247.0,-99.81,2.4,5767.0
0xc57c395e36d14ae6012e027b297407f7ab1167c7,47,13545.20811468,485,11,7743.08,0.241,1,1.4,26.0,-62.75,16.2,5739.0
0x73f380d46c67eb0183b2b23bd1e963a9c82ef316,112,4230.84003,30,8,4230.84,0.833,2.5,26.27,109.0,-999.77,1.0,5641.0
0x4da4a2f69cb2f61a49efb7423b1f093b79c6f1f2,92,5619.83893008,18,4,4573.49,0.667,3.0,0.98,162.0,-7.17,0.6,5336.0
0x552b6ad871f27a9729162c18d769050363f2d57e,113,4204.29772042,81,28,4303.54,0.697,2.0,28.88,100.0,-644.34,2.7,5151.0
0xf649703c3c06946c8448b98c6589e8c0ce7b368d,101,4771.35609559,410,41,4143.24,0.72,7,4.95,44.0,-577.22,13.7,5055.0
0x78cecfc06e64d026c9525f400921a19ba6c386ce,24,30040.10256358,1971,32,4474.12,0.606,62.5,14.85,15.0,-2691.66,65.7,4947.0
0x9551e7d4cd963558bb9882aecc74f549262e217f,55,11716.68501097,1819,19,5696.07,0.356,62,5.59,94.0,-518.35,60.6,4875.0
0x9e875bd28ee5001478c16cb0c8329116a3c3e816,97,4959.40541,72,34,4959.41,0.423,2.0,17.84,191.0,-336.12,2.4,4578.0
0x0e92f1ac42a3f9dc7cdd9fde7dc21c14477ce2b6,107,4522.14322913,1628,81,4522.14,0.471,10,19.74,11.0,-790.0,54.3,4393.0
0xf84a9bb19845f4d79a14e1deb475a311b4224ba9,17,37335.57673789,2000,53,3301.35,0.764,45,25.83,0.0,-561.37,66.7,4172.0
0xba78871966397b1b967a06f3bbc711ddc154fc9e,36,20206.9611301,2000,151,4922.77,0.309,8,10.78,2.0,-272.45,66.7,3984.0
0xea722a08744f35e635dc54345d16c10f12f2da6e,120,3929.48789007,99,22,3929.49,0.477,3.0,13.57,90.0,-649.86,3.3,3840.0
